project_code,project_name,ministry,department,sector,state,location,implementing_agency,approved_cost,revised_cost,expenditure,physical_progress,planned_progress,delay_days,milestones_total,milestones_completed,milestones_delayed,contractor_status,land_acquisition_status,environmental_clearance_status,utility_shifting_status,project_status,latitude,longitude
PRJ-0019,Subansiri Lower Hydroelectric Project (2000 MW),Ministry of Power,NHPC,Power,Assam,"Gerukamukh, Dhemaji",NHPC Ltd,6285.0,21247.0,18900.0,88.0,95.0,490,7,4,3,Minor Delay,Completed,Completed,Completed,Delayed,27.55,94.26
PRJ-0020,Pakal Dul Hydroelectric Project (1000 MW),Ministry of Power,CVPPPL,Power,Jammu & Kashmir,"Drangdhuran, Kishtwar",Chenab Valley Power Projects,8112.0,9950.0,5200.0,52.0,72.0,210,6,2,3,Delayed,In Progress,Completed,Completed,Delayed,33.31,75.76
PRJ-0021,Inter-State Transmission System Green Energy Corridor II,Ministry of Power,POWERGRID,Power,Rajasthan,Bhadla - Fatehgarh Evacuation Grid,PGCIL,4650.0,4700.0,3800.0,83.0,85.0,20,4,3,0,On Track,Completed,Completed,Completed,Ongoing,27.53,71.91
PRJ-0022,North Karanpura Super Thermal Power Project (3x660 MW),Ministry of Power,NTPC,Power,Jharkhand,"Tandwa, Chatra",NTPC Ltd,14366.0,16900.0,15200.0,91.0,94.0,65,6,5,1,On Track,Completed,Completed,Completed,Ongoing,23.85,85.03
PRJ-0023,Bhadradri Thermal Power Station Aux Grid,Ministry of Power,TSGENCO,Power,Telangana,"Manuguru, Kothagudem",TSGENCO,7290.0,7400.0,6800.0,95.0,96.0,10,4,4,0,On Track,Completed,Completed,Completed,Ongoing,17.98,80.75
PRJ-0024,Vadhavan Mega Deep Sea Port Development,"Ministry of Ports, Shipping & Waterways",JNPA,Ports,Maharashtra,"Dahanu, Palghar",Vadhavan Port Project Ltd,76220.0,78500.0,11200.0,18.0,32.0,180,6,1,3,Minor Delay,Delayed,In Progress,In Progress,Ongoing,19.98,72.68
PRJ-0025,International Container Transhipment Terminal Galathea Bay,"Ministry of Ports, Shipping & Waterways",SMPK / Andaman Admin,Ports,Tamil Nadu,Great Nicobar / Coastal Access,IPA,44000.0,45100.0,4200.0,14.0,25.0,150,5,1,2,Delayed,In Progress,Delayed,Completed,Ongoing,13.0827,80.2707
PRJ-0026,Paradip Port Western Dock Modernization,"Ministry of Ports, Shipping & Waterways",Paradip Port Authority,Ports,Odisha,Paradip Western Basin,PPA,3004.0,3040.0,2450.0,78.0,80.0,15,4,3,0,On Track,Completed,Completed,Completed,Ongoing,20.3164,86.6114
PRJ-0027,Cochin Shipyard International Ship Repair Facility (ISRF),"Ministry of Ports, Shipping & Waterways",Cochin Shipyard,Ports,Kerala,"Willingdon Island, Kochi",CSL,2799.0,2850.0,2650.0,92.0,94.0,10,4,4,0,On Track,Completed,Completed,Completed,Ongoing,9.9674,76.2711
PRJ-0028,Polavaram National Multi-Purpose Irrigation Project,Ministry of Jal Shakti,PPA / Water Resources,Water,Andhra Pradesh,"Godavari Basin, Eluru",Polavaram Project Authority,29027.0,55548.0,34500.0,54.0,85.0,540,8,3,5,Critical,Delayed,In Progress,Delayed,Delayed,17.25,81.65
PRJ-0029,Ken-Betwa River Interlinking National Project,Ministry of Jal Shakti,NWDA,Water,Madhya Pradesh,"Daudhan Dam, Chhatarpur & Panna",Ken-Betwa Link Project Authority,44605.0,47200.0,9800.0,26.0,42.0,190,6,1,3,Delayed,Delayed,Delayed,In Progress,Ongoing,24.63,79.88
PRJ-0030,Jal Jeevan Mission Regional Water Grid - Zone IV,Ministry of Jal Shakti,Drinking Water & Sanitation,Water,Rajasthan,Barmer - Jaisalmer Rural Grid,PHED Rajasthan,3850.0,3920.0,3100.0,82.0,84.0,25,4,3,0,On Track,Completed,Completed,Completed,Ongoing,26.9157,70.9083
PRJ-0031,Namami Gange STP & Sewerage Network Kanpur Phase II,Ministry of Jal Shakti,NMCG,Water,Uttar Pradesh,Jajmau & Sisamau Nala Interception,UP Jal Nigam,1620.0,1640.0,1350.0,86.0,89.0,18,4,3,0,On Track,Completed,Completed,Completed,Ongoing,26.4499,80.3319
PRJ-0032,Jagdishpur-Haldia-Bokaro-Dhamra Gas Pipeline (JHBDPL),Ministry of Petroleum & Natural Gas,GAIL,Energy,West Bengal,Durgapur - Haldia Section,GAIL (India) Ltd,12940.0,13800.0,11800.0,87.0,92.0,60,5,4,1,On Track,Completed,Completed,In Progress,Ongoing,22.0667,88.0667
PRJ-0033,Barmer Petroleum Refinery & Petrochemical Complex,Ministry of Petroleum & Natural Gas,HRRL,Energy,Rajasthan,"Pachpadra, Barmer",HPCL Rajasthan Refinery Ltd,43129.0,72937.0,49000.0,74.0,89.0,310,7,4,3,Delayed,Completed,Completed,In Progress,Delayed,25.92,72.25
PRJ-0034,Numaligarh Refinery Expansion (3 to 9 MMTPA),Ministry of Petroleum & Natural Gas,NRL,Energy,Assam,Golaghat District,Numaligarh Refinery Ltd,28026.0,29500.0,18400.0,64.0,72.0,90,5,3,1,Minor Delay,Completed,Completed,Completed,Ongoing,26.58,93.75
PRJ-0035,Noida International Airport (Jewar) Phase 1,Ministry of Civil Aviation,YIAPL,Airports,Uttar Pradesh,"Jewar, Gautam Buddha Nagar",Yamuna International Airport Pvt Ltd,10056.0,10600.0,8900.0,89.0,94.0,45,5,4,1,On Track,Completed,Completed,Completed,Ongoing,28.18,77.62
PRJ-0036,Navi Mumbai International Airport Phase 1,Ministry of Civil Aviation,NMIAL / Adani,Airports,Maharashtra,"Ulwe - Panvel, Navi Mumbai",CIDCO / NMIAL,16700.0,19600.0,14200.0,78.0,88.0,160,6,4,2,Minor Delay,Completed,Completed,Completed,Ongoing,18.99,73.07
PRJ-0037,Bhogapuram International Greenfield Airport,Ministry of Civil Aviation,GMR Visakhapatnam,Airports,Andhra Pradesh,"Bhogapuram, Vizianagaram",GMR Group / APADCL,4592.0,4650.0,1900.0,46.0,52.0,35,4,2,0,On Track,Completed,Completed,In Progress,Ongoing,18.0034,83.4925
PRJ-0038,BharatNet Phase III Optical Fiber Rural Connectivity,Ministry of Communications,DoT / BBNL,Telecommunications,Madhya Pradesh,Bundelkhand & Malwa Gram Panchayats,BSNL / BBNL,13950.0,16200.0,9400.0,62.0,81.0,180,5,2,3,Delayed,Completed,In Progress,Delayed,Ongoing,23.83,78.73
PRJ-0039,BharatNet Phase II High-Speed Connectivity - Telangana,Ministry of Communications,T-Fiber,Telecommunications,Telangana,33 Districts Rural Hubs,T-Fiber Corp,5500.0,5580.0,4600.0,89.0,91.0,15,4,3,0,On Track,Completed,Completed,Completed,Ongoing,17.385,78.4867
PRJ-0040,Talcher Coal Gasification Plant,Ministry of Coal,TFL / CIL,Energy,Odisha,"Talcher, Angul",Talcher Fertilizers Ltd,13277.0,15850.0,9100.0,61.0,82.0,260,6,3,3,Delayed,Completed,Delayed,In Progress,Delayed,20.95,85.22
PRJ-0041,Magadh & Amrapali Coal Evacuation Rail Corridor,Ministry of Coal,CCL,Energy,Jharkhand,"Tandwa, Chatra District",Central Coalfields Ltd,2150.0,2180.0,1850.0,84.0,86.0,20,4,3,0,On Track,Completed,Completed,Completed,Ongoing,23.95,84.95
PRJ-0042,Gujarat Ports Infrastructure Development Package-11,"Ministry of Ports, Shipping & Waterways",Ports Project Division,Ports,Gujarat,Gujarat Regional Circle,State & Central Executing Agency,5617.0,6010.2,3538.7,59.0,68.0,70,5,3,1,Minor Delay,In Progress,Completed,In Progress,Ongoing,22.1,71.64
PRJ-0043,Maharashtra Roads Infrastructure Development Package-12,Ministry of Road Transport & Highways,Roads Project Division,Roads,Maharashtra,Maharashtra Regional Circle,State & Central Executing Agency,4654.0,5677.9,2885.5,58.0,82.0,220,5,1,3,Delayed,Delayed,In Progress,Delayed,Delayed,19.75,75.26
PRJ-0044,Andhra Pradesh Railways Infrastructure Development Package-13,Ministry of Railways,Railways Project Division,Railways,Andhra Pradesh,Andhra Pradesh Regional Circle,State & Central Executing Agency,6191.0,8543.6,3281.2,49.0,90.0,410,5,1,5,Critical,Delayed,Pending,Delayed,Delayed,16.06,79.44
PRJ-0045,Delhi Metro Infrastructure Development Package-14,Ministry of Housing & Urban Affairs,Metro Project Division,Metro,Delhi,Delhi Regional Circle,State & Central Executing Agency,7728.0,7882.6,5950.6,73.0,75.0,10,5,4,0,On Track,Completed,Completed,Completed,Ongoing,29.0,76.95
PRJ-0046,Rajasthan Power Infrastructure Development Package-15,Ministry of Power,Power Project Division,Power,Rajasthan,Rajasthan Regional Circle,State & Central Executing Agency,7165.0,7666.6,4513.9,59.0,68.0,70,5,3,1,Minor Delay,In Progress,Completed,In Progress,Ongoing,26.72,74.21
PRJ-0047,Odisha Water Infrastructure Development Package-16,Ministry of Jal Shakti,Water Project Division,Water,Odisha,Odisha Regional Circle,State & Central Executing Agency,4602.0,5614.4,2853.2,58.0,82.0,220,5,1,3,Delayed,Delayed,In Progress,Delayed,Delayed,20.8,85.24
PRJ-0048,Kerala Airports Infrastructure Development Package-17,Ministry of Civil Aviation,Airports Project Division,Airports,Kerala,Kerala Regional Circle,State & Central Executing Agency,5139.0,7091.8,2723.7,49.0,90.0,410,5,1,5,Critical,Delayed,Pending,Delayed,Delayed,10.85,76.57
PRJ-0049,Andhra Pradesh Ports Infrastructure Development Package-18,"Ministry of Ports, Shipping & Waterways",Ports Project Division,Ports,Andhra Pradesh,Andhra Pradesh Regional Circle,State & Central Executing Agency,6576.0,6707.5,5063.5,73.0,75.0,10,5,4,0,On Track,Completed,Completed,Completed,Ongoing,16.06,80.19
PRJ-0050,Tamil Nadu Roads Infrastructure Development Package-19,Ministry of Road Transport & Highways,Roads Project Division,Roads,Tamil Nadu,Tamil Nadu Regional Circle,State & Central Executing Agency,5613.0,6005.9,3536.2,59.0,68.0,70,5,3,1,Minor Delay,In Progress,Completed,In Progress,Ongoing,11.42,78.2
PRJ-0051,Uttar Pradesh Railways Infrastructure Development Package-20,Ministry of Railways,Railways Project Division,Railways,Uttar Pradesh,Uttar Pradesh Regional Circle,State & Central Executing Agency,7150.0,8723.0,4433.0,58.0,82.0,220,5,1,3,Delayed,Delayed,In Progress,Delayed,Delayed,26.54,80.64
PRJ-0052,Kerala Metro Infrastructure Development Package-21,Ministry of Housing & Urban Affairs,Metro Project Division,Metro,Kerala,Kerala Regional Circle,State & Central Executing Agency,8687.0,11988.1,4604.1,49.0,90.0,410,5,1,5,Critical,Delayed,Pending,Delayed,Delayed,10.7,76.12
PRJ-0053,Madhya Pradesh Power Infrastructure Development Package-22,Ministry of Power,Power Project Division,Power,Madhya Pradesh,Madhya Pradesh Regional Circle,State & Central Executing Agency,4624.0,4716.5,3560.5,73.0,75.0,10,5,4,0,On Track,Completed,Completed,Completed,Ongoing,22.97,78.65
PRJ-0054,Uttar Pradesh Water Infrastructure Development Package-23,Ministry of Jal Shakti,Water Project Division,Water,Uttar Pradesh,Uttar Pradesh Regional Circle,State & Central Executing Agency,2061.0,2205.3,1298.4,59.0,68.0,70,5,3,1,Minor Delay,In Progress,Completed,In Progress,Ongoing,26.99,81.09
PRJ-0055,Gujarat Airports Infrastructure Development Package-24,Ministry of Civil Aviation,Airports Project Division,Airports,Gujarat,Gujarat Regional Circle,State & Central Executing Agency,2598.0,3169.6,1610.8,58.0,82.0,220,5,1,3,Delayed,Delayed,In Progress,Delayed,Delayed,22.55,71.49
PRJ-0056,Tamil Nadu Ports Infrastructure Development Package-25,"Ministry of Ports, Shipping & Waterways",Ports Project Division,Ports,Tamil Nadu,Tamil Nadu Regional Circle,State & Central Executing Agency,4035.0,5568.3,2138.6,49.0,90.0,410,5,1,5,Critical,Delayed,Pending,Delayed,Delayed,10.82,79.1
PRJ-0057,Haryana Roads Infrastructure Development Package-26,Ministry of Road Transport & Highways,Roads Project Division,Roads,Haryana,Haryana Regional Circle,State & Central Executing Agency,3072.0,3133.4,2365.4,73.0,75.0,10,5,4,0,On Track,Completed,Completed,Completed,Ongoing,28.9,75.63
PRJ-0058,Gujarat Railways Infrastructure Development Package-27,Ministry of Railways,Railways Project Division,Railways,Gujarat,Gujarat Regional Circle,State & Central Executing Agency,4609.0,4931.6,2903.7,59.0,68.0,70,5,3,1,Minor Delay,In Progress,Completed,In Progress,Ongoing,22.25,70.89
PRJ-0059,Tamil Nadu Metro Infrastructure Development Package-28,Ministry of Housing & Urban Affairs,Metro Project Division,Metro,Tamil Nadu,Tamil Nadu Regional Circle,State & Central Executing Agency,6146.0,7498.1,3810.5,58.0,82.0,220,5,1,3,Delayed,Delayed,In Progress,Delayed,Delayed,11.27,78.5
PRJ-0060,Gujarat Power Infrastructure Development Package-29,Ministry of Power,Power Project Division,Power,Gujarat,Gujarat Regional Circle,State & Central Executing Agency,5583.0,7704.5,2959.0,49.0,90.0,410,5,1,5,Critical,Delayed,Pending,Delayed,Delayed,22.55,71.19
PRJ-0061,Bihar Water Infrastructure Development Package-30,Ministry of Jal Shakti,Water Project Division,Water,Bihar,Bihar Regional Circle,State & Central Executing Agency,3020.0,3080.4,2325.4,73.0,75.0,10,5,4,0,On Track,Completed,Completed,Completed,Ongoing,24.79,85.46
PRJ-0062,Punjab Airports Infrastructure Development Package-31,Ministry of Civil Aviation,Airports Project Division,Airports,Punjab,Punjab Regional Circle,State & Central Executing Agency,3557.0,3806.0,2240.9,59.0,68.0,70,5,3,1,Minor Delay,In Progress,Completed,In Progress,Ongoing,30.99,75.64
