project_code,reporting_date,physical_progress,planned_progress,expenditure,revised_cost,delay_days,milestones_delayed,risk_score
PRJ-0025,2026-03-13,6.6,12.5,2100.0,44550.0,75,1,36.8
PRJ-0025,2026-06-11,10.0,18.8,3150.0,44825.0,112,1,45.1
PRJ-0025,2026-09-09,13.3,25.0,4200.0,45100.0,150,2,53.4
PRJ-0026,2025-12-13,18.5,20.0,612.5,3013.0,3,0,23.2
PRJ-0026,2026-03-13,37.0,40.0,1225.0,3022.0,7,0,26.5
PRJ-0026,2026-06-11,55.6,60.0,1837.5,3031.0,11,0,29.5
PRJ-0026,2026-09-09,74.1,80.0,2450.0,3040.0,15,0,32.8
PRJ-0027,2025-12-13,21.8,23.5,662.5,2811.8,2,0,23.5
PRJ-0027,2026-03-13,43.7,47.0,1325.0,2824.5,5,0,26.9
PRJ-0027,2026-06-11,65.5,70.5,1987.5,2837.2,7,0,30.5
PRJ-0027,2026-09-09,87.4,94.0,2650.0,2850.0,10,0,33.9
PRJ-0028,2025-12-13,12.8,21.2,8625.0,35657.2,135,1,45.8
PRJ-0028,2026-03-13,25.6,42.5,17250.0,42287.5,270,2,71.8
PRJ-0028,2026-06-11,38.5,63.8,25875.0,48917.8,405,3,95.0
PRJ-0028,2026-09-09,51.3,85.0,34500.0,55548.0,540,5,95.0
PRJ-0029,2025-12-13,6.2,10.5,2450.0,45253.8,47,0,31.7
PRJ-0029,2026-03-13,12.3,21.0,4900.0,45902.5,95,1,43.7
PRJ-0029,2026-06-11,18.5,31.5,7350.0,46551.2,142,2,55.5
PRJ-0029,2026-09-09,24.7,42.0,9800.0,47200.0,190,3,67.3
PRJ-0030,2025-12-13,19.5,21.0,775.0,3867.5,6,0,23.4
PRJ-0030,2026-03-13,38.9,42.0,1550.0,3885.0,12,0,27.0
PRJ-0030,2026-06-11,58.4,63.0,2325.0,3902.5,18,0,30.4
PRJ-0030,2026-09-09,77.9,84.0,3100.0,3920.0,25,0,33.9
PRJ-0031,2025-12-13,20.4,22.2,337.5,1625.0,4,0,23.9
PRJ-0031,2026-03-13,40.9,44.5,675.0,1630.0,9,0,27.8
PRJ-0031,2026-06-11,61.3,66.8,1012.5,1635.0,13,0,31.9
PRJ-0031,2026-09-09,81.7,89.0,1350.0,1640.0,18,0,35.8
PRJ-0032,2025-12-13,20.7,23.0,2950.0,13155.0,15,0,25.6
PRJ-0032,2026-03-13,41.3,46.0,5900.0,13370.0,30,0,31.4
PRJ-0032,2026-06-11,62.0,69.0,8850.0,13585.0,45,0,37.0
PRJ-0032,2026-09-09,82.6,92.0,11800.0,13800.0,60,1,42.8
PRJ-0033,2025-12-13,17.6,22.2,12250.0,50581.0,77,0,34.3
PRJ-0033,2026-03-13,35.1,44.5,24500.0,58033.0,155,1,49.1
PRJ-0033,2026-06-11,52.7,66.8,36750.0,65485.0,232,2,63.7
PRJ-0033,2026-09-09,70.3,89.0,49000.0,72937.0,310,3,78.1
PRJ-0034,2025-12-13,15.2,18.0,4600.0,28394.5,22,0,27.1
PRJ-0034,2026-03-13,30.4,36.0,9200.0,28763.0,45,0,34.2
PRJ-0034,2026-06-11,45.6,54.0,13800.0,29131.5,67,0,41.3
PRJ-0034,2026-09-09,60.8,72.0,18400.0,29500.0,90,1,48.4
PRJ-0035,2025-12-13,21.1,23.5,2225.0,10192.0,11,0,25.5
PRJ-0035,2026-03-13,42.3,47.0,4450.0,10328.0,22,0,30.9
PRJ-0035,2026-06-11,63.4,70.5,6675.0,10464.0,33,0,36.4
PRJ-0035,2026-09-09,84.5,94.0,8900.0,10600.0,45,1,42.0
PRJ-0036,2025-12-13,18.5,22.0,3550.0,17425.0,40,0,29.7
PRJ-0036,2026-03-13,37.0,44.0,7100.0,18150.0,80,1,39.3
PRJ-0036,2026-06-11,55.6,66.0,10650.0,18875.0,120,1,48.8
PRJ-0036,2026-09-09,74.1,88.0,14200.0,19600.0,160,2,58.5
PRJ-0037,2025-12-13,10.9,13.0,475.0,4606.5,8,0,24.7
PRJ-0037,2026-03-13,21.8,26.0,950.0,4621.0,17,0,29.5
PRJ-0037,2026-06-11,32.8,39.0,1425.0,4635.5,26,0,34.1
PRJ-0037,2026-09-09,43.7,52.0,1900.0,4650.0,35,0,38.9
PRJ-0038,2025-12-13,14.7,20.2,2350.0,14512.5,45,0,34.0
PRJ-0038,2026-03-13,29.4,40.5,4700.0,15075.0,90,1,48.2
PRJ-0038,2026-06-11,44.2,60.8,7050.0,15637.5,135,2,62.2
PRJ-0038,2026-09-09,58.9,81.0,9400.0,16200.0,180,3,76.2
PRJ-0039,2025-12-13,21.1,22.8,1150.0,5520.0,3,0,23.6
PRJ-0039,2026-03-13,42.3,45.5,2300.0,5540.0,7,0,26.9
PRJ-0039,2026-06-11,63.4,68.2,3450.0,5560.0,11,0,30.3
PRJ-0039,2026-09-09,84.5,91.0,4600.0,5580.0,15,0,34.0
PRJ-0040,2025-12-13,14.5,20.5,2275.0,13920.2,65,0,36.3
PRJ-0040,2026-03-13,29.0,41.0,4550.0,14563.5,130,1,52.7
PRJ-0040,2026-06-11,43.5,61.5,6825.0,15206.8,195,2,69.0
PRJ-0040,2026-09-09,57.9,82.0,9100.0,15850.0,260,3,85.5
PRJ-0041,2025-12-13,19.9,21.5,462.5,2157.5,5,0,23.5
PRJ-0041,2026-03-13,39.9,43.0,925.0,2165.0,10,0,26.9
PRJ-0041,2026-06-11,59.8,64.5,1387.5,2172.5,15,0,30.4
PRJ-0041,2026-09-09,79.8,86.0,1850.0,2180.0,20,0,33.7
PRJ-0042,2025-12-13,14.0,17.0,884.7,5715.3,17,0,27.1
PRJ-0042,2026-03-13,28.0,34.0,1769.3,5813.6,35,0,34.3
PRJ-0042,2026-06-11,42.0,51.0,2654.0,5911.9,52,0,41.5
PRJ-0042,2026-09-09,56.0,68.0,3538.7,6010.2,70,1,48.7
PRJ-0043,2025-12-13,13.8,20.5,721.4,4910.0,55,0,37.1
PRJ-0043,2026-03-13,27.5,41.0,1442.8,5165.9,110,1,54.3
PRJ-0043,2026-06-11,41.3,61.5,2164.1,5421.9,165,2,71.4
PRJ-0043,2026-09-09,55.1,82.0,2885.5,5677.9,220,3,88.5
PRJ-0044,2025-12-13,11.6,22.5,820.3,6779.1,102,1,48.6
PRJ-0044,2026-03-13,23.3,45.0,1640.6,7367.3,205,2,77.1
PRJ-0044,2026-06-11,34.9,67.5,2460.9,7955.5,307,3,95.0
PRJ-0044,2026-09-09,46.5,90.0,3281.2,8543.6,410,5,95.0
PRJ-0045,2025-12-13,17.3,18.8,1487.7,7766.6,2,0,23.1
PRJ-0045,2026-03-13,34.7,37.5,2975.3,7805.3,5,0,25.9
PRJ-0045,2026-06-11,52.0,56.2,4463.0,7844.0,7,0,28.9
PRJ-0045,2026-09-09,69.3,75.0,5950.6,7882.6,10,0,32.1
PRJ-0046,2025-12-13,14.0,17.0,1128.5,7290.4,17,0,27.1
PRJ-0046,2026-03-13,28.0,34.0,2256.9,7415.8,35,0,34.3
PRJ-0046,2026-06-11,42.0,51.0,3385.4,7541.2,52,0,41.5
PRJ-0046,2026-09-09,56.0,68.0,4513.9,7666.6,70,1,48.7
PRJ-0047,2025-12-13,13.8,20.5,713.3,4855.1,55,0,37.1
PRJ-0047,2026-03-13,27.5,41.0,1426.6,5108.2,110,1,54.3
PRJ-0047,2026-06-11,41.3,61.5,2139.9,5361.3,165,2,71.4
PRJ-0047,2026-09-09,55.1,82.0,2853.2,5614.4,220,3,88.5
PRJ-0048,2025-12-13,11.6,22.5,680.9,5627.2,102,1,48.6
PRJ-0048,2026-03-13,23.3,45.0,1361.8,6115.4,205,2,77.1
PRJ-0048,2026-06-11,34.9,67.5,2042.8,6603.6,307,3,95.0
PRJ-0048,2026-09-09,46.5,90.0,2723.7,7091.8,410,5,95.0
PRJ-0049,2025-12-13,17.3,18.8,1265.9,6608.9,2,0,23.1
PRJ-0049,2026-03-13,34.7,37.5,2531.8,6641.8,5,0,25.9
PRJ-0049,2026-06-11,52.0,56.2,3797.6,6674.6,7,0,28.9
PRJ-0049,2026-09-09,69.3,75.0,5063.5,6707.5,10,0,32.1
PRJ-0050,2025-12-13,14.0,17.0,884.0,5711.2,17,0,27.1
PRJ-0050,2026-03-13,28.0,34.0,1768.1,5809.4,35,0,34.3
PRJ-0050,2026-06-11,42.0,51.0,2652.1,5907.7,52,0,41.5
PRJ-0050,2026-09-09,56.0,68.0,3536.2,6005.9,70,1,48.7
PRJ-0051,2025-12-13,13.8,20.5,1108.2,7543.2,55,0,37.1
PRJ-0051,2026-03-13,27.5,41.0,2216.5,7936.5,110,1,54.3
PRJ-0051,2026-06-11,41.3,61.5,3324.8,8329.8,165,2,71.4
PRJ-0051,2026-09-09,55.1,82.0,4433.0,8723.0,220,3,88.5
PRJ-0052,2025-12-13,11.6,22.5,1151.0,9512.3,102,1,48.6
PRJ-0052,2026-03-13,23.3,45.0,2302.1,10337.5,205,2,77.1
PRJ-0052,2026-06-11,34.9,67.5,3453.1,11162.8,307,3,95.0
PRJ-0052,2026-09-09,46.5,90.0,4604.1,11988.1,410,5,95.0
PRJ-0053,2025-12-13,17.3,18.8,890.1,4647.1,2,0,23.1
PRJ-0053,2026-03-13,34.7,37.5,1780.2,4670.2,5,0,25.9
PRJ-0053,2026-06-11,52.0,56.2,2670.4,4693.4,7,0,28.9
PRJ-0053,2026-09-09,69.3,75.0,3560.5,4716.5,10,0,32.1
PRJ-0054,2025-12-13,14.0,17.0,324.6,2097.1,17,0,27.1
PRJ-0054,2026-03-13,28.0,34.0,649.2,2133.2,35,0,34.3
PRJ-0054,2026-06-11,42.0,51.0,973.8,2169.2,52,0,41.5
PRJ-0054,2026-09-09,56.0,68.0,1298.4,2205.3,70,1,48.7
PRJ-0055,2025-12-13,13.8,20.5,402.7,2740.9,55,0,37.1
PRJ-0055,2026-03-13,27.5,41.0,805.4,2883.8,110,1,54.3
PRJ-0055,2026-06-11,41.3,61.5,1208.1,3026.7,165,2,71.4
PRJ-0055,2026-09-09,55.1,82.0,1610.8,3169.6,220,3,88.5
PRJ-0056,2025-12-13,11.6,22.5,534.6,4418.3,102,1,48.6
PRJ-0056,2026-03-13,23.3,45.0,1069.3,4801.6,205,2,77.1
PRJ-0056,2026-06-11,34.9,67.5,1603.9,5185.0,307,3,95.0
PRJ-0056,2026-09-09,46.5,90.0,2138.6,5568.3,410,5,95.0
PRJ-0057,2025-12-13,17.3,18.8,591.4,3087.3,2,0,23.1
PRJ-0057,2026-03-13,34.7,37.5,1182.7,3102.7,5,0,25.9
PRJ-0057,2026-06-11,52.0,56.2,1774.1,3118.1,7,0,28.9
PRJ-0057,2026-09-09,69.3,75.0,2365.4,3133.4,10,0,32.1
PRJ-0058,2025-12-13,14.0,17.0,725.9,4689.6,17,0,27.1
PRJ-0058,2026-03-13,28.0,34.0,1451.8,4770.3,35,0,34.3
PRJ-0058,2026-06-11,42.0,51.0,2177.8,4851.0,52,0,41.5
PRJ-0058,2026-09-09,56.0,68.0,2903.7,4931.6,70,1,48.7
PRJ-0059,2025-12-13,13.8,20.5,952.6,6484.0,55,0,37.1
PRJ-0059,2026-03-13,27.5,41.0,1905.2,6822.1,110,1,54.3
PRJ-0059,2026-06-11,41.3,61.5,2857.9,7160.1,165,2,71.4
PRJ-0059,2026-09-09,55.1,82.0,3810.5,7498.1,220,3,88.5
PRJ-0060,2025-12-13,11.6,22.5,739.8,6113.4,102,1,48.6
PRJ-0060,2026-03-13,23.3,45.0,1479.5,6643.8,205,2,77.1
PRJ-0060,2026-06-11,34.9,67.5,2219.2,7174.1,307,3,95.0
PRJ-0060,2026-09-09,46.5,90.0,2959.0,7704.5,410,5,95.0
PRJ-0061,2025-12-13,17.3,18.8,581.4,3035.1,2,0,23.1
PRJ-0061,2026-03-13,34.7,37.5,1162.7,3050.2,5,0,25.9
PRJ-0061,2026-06-11,52.0,56.2,1744.1,3065.3,7,0,28.9
PRJ-0061,2026-09-09,69.3,75.0,2325.4,3080.4,10,0,32.1
PRJ-0062,2025-12-13,14.0,17.0,560.2,3619.2,17,0,27.1
PRJ-0062,2026-03-13,28.0,34.0,1120.5,3681.5,35,0,34.3
PRJ-0062,2026-06-11,42.0,51.0,1680.7,3743.8,52,0,41.5
PRJ-0062,2026-09-09,56.0,68.0,2240.9,3806.0,70,1,48.7
